epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,88335.4,0.78463,0.72692,0.01097,0.5007,0.48924,0.3714,0.1639,0.65454,0.55744,0.01367,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,91052.2,0.78032,0.70901,0.01101,0.50308,0.48547,0.36741,0.16117,0.65482,0.56362,0.01371,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,93773.1,0.77626,0.71496,0.01093,0.5009,0.48724,0.3688,0.16153,0.65694,0.56268,0.01381,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,96490.5,0.7732,0.70889,0.01083,0.50385,0.48692,0.37093,0.16322,0.65679,0.55786,0.01379,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,99209.1,0.77288,0.70761,0.01088,0.50767,0.48704,0.37369,0.16468,0.65821,0.55288,0.01385,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,101935,0.77166,0.70899,0.01079,0.49804,0.49356,0.37203,0.16452,0.65901,0.55453,0.01393,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,104654,0.75906,0.70079,0.01059,0.49733,0.49472,0.37188,0.165,0.65922,0.55345,0.01399,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,107378,0.75406,0.69592,0.01056,0.49883,0.49361,0.3716,0.16434,0.65896,0.55511,0.01402,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,110117,0.76218,0.69796,0.01059,0.49452,0.49753,0.37482,0.16403,0.66029,0.555,0.01409,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,112831,0.75993,0.68857,0.01063,0.49689,0.49418,0.37264,0.16307,0.65991,0.5576,0.01411,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,115548,0.75731,0.69037,0.01058,0.49512,0.49691,0.37256,0.16349,0.65883,0.55656,0.01405,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,118263,0.75405,0.68416,0.01053,0.5002,0.49707,0.37271,0.16355,0.66147,0.55722,0.01416,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,120974,0.74601,0.67746,0.01038,0.49687,0.49217,0.37815,0.16631,0.65973,0.56047,0.01412,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,123694,0.74825,0.67101,0.0104,0.46169,0.49072,0.37943,0.16717,0.66104,0.59109,0.01421,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,126434,0.74543,0.667,0.01035,0.44775,0.48306,0.37203,0.16262,0.66492,0.60801,0.01435,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
