epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,25560.1,0.72376,0.68797,1.14917,0.84147,0.86743,0.8692,0.70184,0.69934,0.59316,0.95001,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,26358.3,0.71977,0.68056,1.14306,0.84104,0.86826,0.8682,0.70169,0.69884,0.59334,0.95047,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,27155.3,0.72202,0.68442,1.14654,0.84401,0.86306,0.86768,0.70157,0.69853,0.59146,0.95022,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,27950.2,0.71621,0.67559,1.14149,0.84411,0.86149,0.86715,0.70118,0.69899,0.59082,0.95064,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,28745.5,0.71403,0.67252,1.14137,0.84347,0.8634,0.86625,0.7013,0.69714,0.58926,0.94959,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,29540.7,0.7124,0.67206,1.14382,0.84487,0.86223,0.86647,0.70103,0.69588,0.58809,0.94839,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,30337,0.71192,0.66901,1.13683,0.84715,0.86121,0.86701,0.7008,0.69658,0.58701,0.94872,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,31134.5,0.71149,0.66462,1.13567,0.84682,0.85889,0.86646,0.70109,0.6963,0.5856,0.94827,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,31930.7,0.70485,0.66286,1.13433,0.84712,0.8581,0.8658,0.70102,0.69705,0.58423,0.94856,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,32733.7,0.70504,0.65695,1.13599,0.8451,0.86068,0.86593,0.70142,0.69604,0.58363,0.94778,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,33542.3,0.70175,0.65326,1.1333,0.84377,0.86282,0.86589,0.70126,0.69562,0.583,0.94695,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,34339.8,0.69768,0.64463,1.125,0.84448,0.86198,0.86607,0.70201,0.69535,0.58225,0.94641,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,35132.4,0.70077,0.64539,1.12931,0.84306,0.86311,0.86606,0.70236,0.69569,0.58378,0.94639,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,35929.4,0.69615,0.64616,1.12782,0.84556,0.86097,0.86651,0.70241,0.69572,0.58257,0.94634,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,36735.3,0.6895,0.63785,1.11883,0.84601,0.86363,0.8661,0.70251,0.69589,0.5822,0.94671,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,37529.8,0.69147,0.63793,1.11986,0.8475,0.86337,0.8665,0.70252,0.69597,0.58253,0.94686,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,38326.6,0.69282,0.63799,1.12434,0.84801,0.86511,0.86675,0.70259,0.69592,0.58226,0.94736,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,39123.5,0.6855,0.63291,1.12295,0.84858,0.86366,0.86706,0.70288,0.6955,0.58137,0.94723,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,39922.1,0.68137,0.62676,1.11713,0.84894,0.86272,0.86734,0.70308,0.69515,0.58052,0.94717,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,40722.9,0.68182,0.62418,1.11869,0.84915,0.86273,0.86715,0.70273,0.69494,0.5799,0.94704,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,41521.7,0.68368,0.62152,1.11899,0.8474,0.86626,0.86634,0.70267,0.69557,0.57963,0.94743,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,42323.7,0.68089,0.61972,1.12009,0.84426,0.86922,0.86647,0.70276,0.69501,0.58028,0.94716,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,43133.1,0.67881,0.61587,1.11849,0.84707,0.86496,0.86657,0.7032,0.69376,0.57922,0.94654,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,43944.4,0.67283,0.60958,1.11515,0.84653,0.86577,0.86669,0.7039,0.69251,0.57833,0.9454,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,44746.1,0.6697,0.6077,1.11737,0.84777,0.86499,0.86742,0.7039,0.69265,0.57724,0.94568,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,45547.2,0.6725,0.60772,1.11245,0.84907,0.86297,0.86663,0.70364,0.69172,0.57729,0.94512,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,46350.3,0.66815,0.60054,1.11345,0.85008,0.86327,0.86669,0.70341,0.69171,0.57679,0.94508,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,47180.3,0.66388,0.59566,1.10611,0.84975,0.86261,0.86662,0.70407,0.69077,0.57548,0.94418,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,48011,0.66183,0.58984,1.10263,0.84901,0.86337,0.86672,0.70465,0.69077,0.57527,0.94396,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,48839.5,0.65594,0.58826,1.10351,0.84591,0.86548,0.8674,0.70432,0.69054,0.57516,0.94359,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,49671,0.65687,0.58517,1.10404,0.84564,0.86677,0.86741,0.70403,0.69078,0.57356,0.94358,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,50499.3,0.65655,0.58401,1.10419,0.8475,0.86684,0.86751,0.70424,0.69039,0.57386,0.94312,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,51329.9,0.65128,0.57581,1.10289,0.84862,0.8676,0.86779,0.70453,0.69089,0.57258,0.94337,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,52157.2,0.65276,0.57674,1.09974,0.85135,0.86473,0.86824,0.70492,0.69089,0.57206,0.94364,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
